GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200017_at 9.87533425072593 9.61541210606033 9.94616021128719 9.76946219031801 9.54621230953707 9.85037271545712 9.75470306143266 9.81393222422681 9.83374699850985 9.79897363727355
200018_at 11.0656744203253 10.8369246031082 10.9451166367337 10.8952380210556 10.7971892142627 10.8829375779799 10.918296512947 10.8527965909348 10.7620761804377 10.773537306643
200019_s_at 10.6262710094579 10.409042880065 10.6435359857667 10.3687731893841 10.0539160117377 10.1443932505837 10.1491716392577 10.3923057332312 10.5279038131664 10.5081582086322
200020_at 7.99805128348288 7.71449010774229 7.73395927670624 7.53253438831084 7.55977571631076 7.17046867601984 7.09303219866416 7.29471911207194 7.8648110489029 7.62059158654484
200021_at 11.7851524133888 11.767902625485 11.8718155049473 11.687603969802 11.8900433812222 11.8041626510682 11.7046153566438 11.7988244339714 11.8894754477484 11.8297115992541
200022_at 10.3264919720318 9.76140499688334 10.1472852740943 9.83905930856198 10.0856593075569 9.84550117271716 9.13364634221841 10.1064445350823 9.92274145227665 10.0638213369693
200023_s_at 8.08181522446685 7.91565177818188 8.11823559668471 8.17156296772634 7.75060357840152 7.80567658946553 8.03198681556113 8.1335377233292 8.09402434596533 8.12051069819899
200024_at 9.79988340465816 9.30593501189759 9.39188968631245 9.56626547818038 9.47468418868796 9.56610337745357 8.73402343648006 9.45084401009052 9.21556250031669 9.61922033170925
200025_s_at 11.4944088927676 10.9968927691955 11.3337475664523 11.0994860166867 10.8590966861928 11.0684048327789 10.9728007463851 11.0303403546406 11.1223297675634 11.1494879596146
200026_at 11.4561602819276 11.5125784609688 11.7031999602436 11.478382914771 11.2828344042618 11.4159777373814 11.4068525114712 11.5543643261985 11.6299909261662 11.3848902110731
200027_at 8.89716761090692 9.10814228648976 9.2731940854012 8.5182539865793 8.91001876307909 9.21855573823372 9.63930991827299 8.94990439696805 8.86754012189308 8.96915432417968
200028_s_at 8.97603802372083 9.26220777468617 9.00886612758891 8.68623996554527 8.77646067306123 8.83988916553517 8.98468515422347 8.65443224484769 9.2408074733281 9.13138776223351
200029_at 11.3724090614887 11.2091927471469 11.3690697291436 11.4330673159652 11.3618855298261 11.4100919070063 10.7745849839651 11.3777618132426 11.3407941825412 11.319876339543
200030_s_at 9.78389488130193 10.1135074020779 10.0626874207743 9.81635518776434 9.95070799639572 10.2670455605833 10.5274132251605 10.0419469734798 9.68221288958435 10.2514491581681
200031_s_at 11.1499750974571 10.9224534093048 11.0254416848187 10.9145856488953 10.6501395250384 10.833072247263 10.5762971752393 10.9934451942556 10.9159183495178 10.7948254886655
