GSM506015 GSM506016 GSM506017 GSM506018 GSM506021 GSM506022 GSM506013 GSM506014 GSM506019
200080_s_at 9.67864396559498 9.83177084371174 9.93295606210829 10.2867846022601 10.4562460453779 9.86898703104939 10.0797347397605 9.44475250528932 10.0311711819077
200081_s_at 11.445241960838 11.2951375036507 11.1516188902416 11.3417623327225 11.3743386525298 10.9152646752962 10.8375049863668 11.2266603423843 10.9042510977829
200082_s_at 10.7527759029804 10.2138548792639 10.3326912813127 10.4358291505671 10.3332179006199 10.2270635628166 10.0957736174328 10.5834755644428 10.0535828924906
200083_at 8.92929122332525 8.66744540498638 8.6785190560426 8.79822601397601 8.33814709418738 8.77765080584034 9.17265445709279 9.22224837019974 9.0223254872051
200084_at 9.01123830569684 9.024504216113 8.91970813154149 9.23840110896858 9.17016819927149 8.83347625284284 9.08974490531754 8.97923048011961 8.99647644439659
200085_s_at 10.3631917207968 9.95537049952593 10.2806665613829 10.0045748281447 10.1032527486627 10.0127507640292 10.3510814823176 10.6059498391255 10.2640462826149
200086_s_at 11.0778359137858 10.9048423921288 10.5130602127477 10.8960780394293 10.6353726549888 10.742754745045 11.2734458089129 11.304477177913 10.747290755814
200087_s_at 8.59345683004476 8.3949966479101 7.94970251282788 8.69530886805567 8.85487981029405 8.20107979936526 8.47471641533947 8.43631555141993 8.53784799874286
200088_x_at 11.1520007599677 10.4208683192011 10.6253611933972 10.9222694876116 10.6972483719761 11.0474606942098 10.8055521643263 11.1319586980865 10.7202453365843
200089_s_at 10.6182883320209 9.95199714016755 10.3358343298142 10.6124833805134 10.7193607836654 10.1894490534932 10.2598532875556 10.282658518896 10.2682247996081
200090_at 9.77091152421073 9.74277335977988 9.75753065438067 9.94728909835899 10.3995833649996 9.54810349328848 10.2624184325752 9.899248820729 9.9863102698593
200091_s_at 9.84003644295117 9.52613569952649 9.53981801538555 10.1170406599735 10.1295793599145 9.67946349472204 9.7650698312625 9.85497869078457 9.84003644295117
200092_s_at 11.1869877219187 10.784031179118 10.892901671277 11.2930979597629 11.2405170524083 10.8068547419981 11.0009432678778 11.0376811216731 10.9905458781471
200093_s_at 9.70298690672036 9.40685031692273 8.88371784681428 8.94106748527608 9.05258713919297 9.09150967047078 9.73879774581126 9.57568874865209 9.21310144750109
200094_s_at 11.0763523921662 10.5492428325971 9.98921172246807 10.5928014661677 10.1774299765904 10.4210608414296 10.5998019432967 10.8383468606184 10.2818346704065
200095_x_at 12.3795502365527 12.0343455662731 12.150388291287 12.15442272517 12.0270376541642 11.9490033230409 12.083156454668 12.3356301824493 12.1200073422426
200096_s_at 8.69338167304586 9.104826645195 8.36729142014831 8.70426644472977 8.95932846368621 8.76666167558276 8.43588500773628 8.67170201309389 8.93362555409004
200097_s_at 8.64688244040551 8.45341690856186 8.22586912691082 8.63786966416603 8.55510658416477 8.3925706432755 8.84346456601492 8.51934754852732 8.40975621333736
200098_s_at 9.62985096374485 9.35803457498112 9.50208258421693 9.92500074756705 9.99670290621429 9.75796579035053 10.1062022475386 9.64861789383034 9.85118374262387
200099_s_at 10.9810449591314 10.9720793083041 10.7699193686303 11.0860477624488 11.0625603401958 10.4334266734008 10.3782603126566 10.816827859889 10.5887378370085
200593_s_at 9.38092906041056 9.30992078284609 9.00505041867754 9.04663447418231 9.04789069943918 9.00505041867754 8.86900657711496 8.79609709819036 8.8438720073449
200594_x_at 9.9218846557052 10.0942403837258 9.42131034204983 10.0203701056564 9.94119419275909 10.0389369627845 10.0378760634301 9.74305405654331 9.86282836424857
200595_s_at 6.81060473932691 7.03144605966131 6.47164764040064 7.34505477609439 7.62482669728851 6.27506598494074 7.05021807707443 7.01490153862791 7.01490153862791
200596_s_at 7.14728687950094 6.80327895895438 7.27393979134316 6.87489873142402 7.04618535555121 6.69539862838628 6.69512708692711 6.94425854017411 7.0006802735284
200597_at 5.81849563056066 5.44476039977245 5.5537115671376 5.55907867639611 5.7184884771108 5.62421560422248 5.65378596820242 5.8500573727182 5.82504957944808
200598_s_at 8.82133443501485 7.97105246376382 7.50788165850707 7.62185792138928 8.68740219005694 7.45857045757441 7.62185792138928 7.30887744339634 7.08148107940926
200599_s_at 10.9988222747424 10.278702329401 9.85074463112964 10.4338382424365 11.2773407057955 9.9802204261966 10.3483189982049 10.0128851290729 10.584933139566
200600_at 8.59425855256668 8.09596942194194 7.69267091193693 8.61732740259239 8.86935479679053 8.23774759912183 7.80529019017065 8.37066714537912 8.12193931888027
200601_at 7.78011507324433 8.26207472570918 7.6019097613514 8.1038113128611 8.43534036205161 8.00681933722564 7.88746087357023 7.89124759891283 7.8405720723625
200602_at 8.4114213555807 8.46076803871027 8.51012412358232 9.06906592429971 8.97587424739826 7.59844058900488 8.98042392727909 8.30649240733462 8.59629720785963
200603_at 8.86068837016585 9.23514342778229 8.31334663862348 9.5830140532472 9.29149650799375 8.60946919757105 9.78804026118307 9.09247659001609 9.07049451530892
200604_s_at 9.28886778315152 9.20506666757197 8.47530987249251 8.6034035660265 9.18654331521838 8.98960216046093 9.18912386111786 9.00393470023893 8.1867343505765
200605_s_at 9.62905479463976 9.8258249399638 9.41282810515139 9.84877553771099 10.4801027881757 9.31822700929636 10.0103741569629 9.71982093518264 9.61980588814849
200606_at 5.43490753688049 5.57958640619478 6.1002693193514 6.03385477403003 6.54727430886307 5.74024163350893 5.58765944841045 5.43743452533829 5.70836328424565
200607_s_at 7.01040028050903 7.8544378416965 6.94571268051349 7.1694539567573 7.32743266434154 7.06509674539263 7.03866757630518 6.92960146585483 6.82377370154257
200608_s_at 6.57429312415627 7.14328777954334 6.74840579155601 7.5860537844664 7.76821244235485 6.32680872691372 7.16839448769048 6.93664276979766 7.55280124059624
200609_s_at 10.3376912004082 9.62045393493437 9.59211438634962 9.63529679013191 9.7284638347944 9.90241064198068 9.5691330393194 10.3305333226782 9.57293411156942
200610_s_at 9.88445492059526 9.88969713515222 9.58724743709313 9.89454991332762 9.82829684834013 9.7988154755593 9.82829684834013 9.82829684834013 9.72387654885182
200611_s_at 9.19556617171238 8.78127206257482 8.72986652609625 8.41760673351872 8.93641870334746 8.78127206257482 8.40454814728912 9.11502998697568 8.51920174029642
200612_s_at 9.84220972979359 9.79531877139669 9.31822745282218 9.84444078156047 9.7239091772107 9.49902446694704 9.92956878127519 10.1851726949276 9.68537673474377
200613_at 10.0191890543852 9.73849347575075 9.08396537705291 9.24100031400861 9.07133244887958 9.51194664902062 9.96311433937921 10.1814779852181 9.46447251433015
200614_at 11.2630673031748 10.9936035605724 10.8849092803034 10.5713693329598 10.6565143854469 10.7269406877625 11.3246336784098 11.1759099523032 10.8753761871568
200615_s_at 8.62900523859862 8.33982223297271 7.92926369317353 8.22961800014245 8.40701388199926 7.97702640255351 8.22961800014245 8.26541583850202 8.07843094478173
200616_s_at 5.52195296059137 5.57242599654284 5.73217666104382 5.57242599654284 5.70632302786939 5.44498557725276 5.41091296580867 5.57242599654284 5.63056127057437
200617_at 8.42987899156982 8.81652175914041 8.67480406962953 8.8359602002224 8.93057851485643 8.62297077510242 8.67480406962953 8.42898777212962 8.67480406962953
200618_at 7.42211199572316 7.52199659534608 8.12434328259741 8.1182534624404 8.04650690694378 7.82336142548303 8.32140716524066 7.95385004223703 8.2930938927063
200619_at 9.02350154120769 8.89447904118279 8.71737740518858 8.63512970587228 8.85811651726358 9.04604081147886 8.89447904118279 9.1979258026932 8.91453775487765
200620_at 10.1982075628194 10.063386067927 10.454320501902 10.1886435356024 10.9965216129421 10.0304065313838 10.4485875909249 10.2408521939845 10.3329230490115
200621_at 11.3375249521674 12.0347917254084 11.3672079995536 11.5149678646614 11.3364184528916 11.3913456863566 11.5502821142796 11.4800080900082 11.4998388466643
200622_x_at 9.1329658412657 8.70182650475704 8.8682599114207 8.58002374460402 8.84608920423558 8.88390122754988 9.54302942899021 9.64119479077979 8.91198029341533
200623_s_at 8.95609936241889 8.8898865249906 9.22030409174562 8.08766267065609 7.96833884608443 8.13520985987601 9.35869736353769 8.98231528442127 9.00425538411135
200624_s_at 9.76490837553582 9.86809535222299 9.53540780587875 9.53361546247886 9.95519578184153 9.64095402221741 10.0488797111809 9.63189988233437 9.47311029069892
200625_s_at 10.2716795971232 9.92026154026158 9.86810928765873 10.0316479466757 10.4347578944315 10.0001157149467 10.0972219577053 10.0352129337971 9.98624186307627
200626_s_at 8.95762104020022 8.95762104020022 8.79725966966636 9.05185958905497 8.95762104020022 8.44793653878686 9.16799731301362 8.95762104020022 8.82171337326112
200627_at 10.3619176875982 10.2123152573898 9.78187467354609 10.1831691275577 10.877165622743 9.73495974520281 10.1439490159686 10.0490942299323 10.2364321857078
200628_s_at 8.43352682465564 8.36436478420107 8.42965740686383 8.71022930487583 8.75427861335548 7.57062450946776 8.05090934938537 8.68422182150857 8.31938050771229
