Entrez.Gene	Symbol	GSE7621_FC	GSE8397_FC	GSE20141_FC	GSE20164_FC	GSE20292_FC	GSE20163_FC	GSE20333_FC	GSE7621_statPval	GSE8397_statPval	GSE20141_statPval	GSE20164_statPval	GSE20292_statPval	GSE20163_statPval	GSE20333_statPval	metaZscore	metaPval	effect	significance	metaPvalBonf	metaPvalFDR
7155	TOP2B	0.0181420880519383	0.35518878708134	-1.54440765088074	-0.129985004407302	-0.275428328517719	-0.00593227152643117	0.0468855342642787	0.931077839441167	0.248079121687733	0.0768020092684015	0.897668905679388	0.553379605886651	0.969620040197329	0.985127212433875	-0.927946762524764	0.353435185856742	++----+	#######	1	0.601370205485174
55127	HEATR1	0.121007124893935	0.0844787009619026	-0.710503061392223	-0.0440843326320497	0.235981813005276	-0.0341005388045801	NA	0.555144886374661	0.582785572169069	0.339464119915975	0.963121322218219	0.383867093096679	0.848490254297199	NA	0.927870107288272	0.353474952145428	++--+-?	######?	1	0.601370205485174
3148	HMGB2	0.256802661158701	1.05701578824836	-1.37309966635314	0.0283557396789291	-0.876942733748132	-0.278122178681402	NA	0.469028718959247	0.0301735619134861	0.0888926446627621	0.984650868249229	0.265955308012227	0.366347213940216	NA	-0.92777067096389	0.353526540749326	++-+--?	#!####?	1	0.601370205485174
51479	ANKFY1	0.188067821842598	NA	NA	NA	NA	NA	NA	0.353556001912341	NA	NA	NA	NA	NA	NA	0.927713889092464	0.353556001912341	+??????	#??????	1	0.601370205485174
5255	PHKA1	0.310806829495775	NA	NA	NA	NA	NA	NA	0.353669573623957	NA	NA	NA	NA	NA	NA	0.927495025028387	0.353669573623957	+??????	#??????	1	0.601464651549556
54822	TRPM7	0.285344858980546	NA	NA	NA	NA	NA	NA	0.35382835573239	NA	NA	NA	NA	NA	NA	0.927189110457257	0.35382835573239	+??????	#??????	1	0.601635940613559
540	ATP7B	0.0696835580392197	NA	-1.36807141019903	NA	NA	NA	NA	0.734974723415851	NA	0.0875390048084495	NA	NA	NA	NA	-0.926940325312711	0.353957518555367	+?-????	#?#????	1	0.601752159493261
221395	ADGRF5	-0.268934195930655	0.393317664938296	NA	-0.0919243454916847	0.14056525944858	0.152800214667817	NA	0.401166429879701	0.194750855754866	NA	0.936062271071524	0.706992856339852	0.424669865281772	NA	0.926814908164755	0.354022643194178	-+?-++?	##?###?	1	0.601752159493261
9532	BAG2	0.1925896891174	NA	NA	NA	NA	NA	NA	0.354141030103524	NA	NA	NA	NA	NA	NA	0.926586955769369	0.354141030103524	+??????	#??????	1	0.601752159493261
9230	RAB11B	-0.183623408871241	NA	NA	NA	NA	NA	NA	0.354187070136016	NA	NA	NA	NA	NA	NA	-0.926498319310567	0.354187070136016	-??????	#??????	1	0.601752159493261
645212	EIF3J-AS1	-0.201860756531579	NA	NA	NA	NA	NA	NA	0.354187070136016	NA	NA	NA	NA	NA	NA	-0.926498319310567	0.354187070136016	-??????	#??????	1	0.601752159493261
27252	KLHL20	-0.383673029381228	0.297081905059668	NA	NA	0.102781512955259	-0.714570596908896	NA	0.132584815849392	0.162539009388058	NA	NA	0.722661332005605	0.138897303967882	NA	-0.926309536117439	0.354285141533464	-+??+-?	##??##?	1	0.601820104355697
9409	PEX16	-0.405299071498439	0.127125823112931	NA	-0.10307052088846	-0.0141438165264738	0.0199855215314884	0.0258471921877188	0.0700076591501265	0.430123686958357	NA	0.897431368115569	0.953111456874093	0.870628456835021	0.985127212433875	-0.926019901760668	0.354435637666883	-+?--++	##?####	1	0.60191699606081
957	ENTPD5	-0.244402340144227	NA	NA	NA	NA	NA	NA	0.35445835842145	NA	NA	NA	NA	NA	NA	-0.9259761817309	0.35445835842145	-??????	#??????	1	0.60191699606081
221656	KDM1B	0.269072890067481	NA	NA	NA	NA	NA	NA	0.354712542768914	NA	NA	NA	NA	NA	NA	0.925487192379253	0.354712542768914	+??????	#??????	1	0.602156511999849
255252	LRRC57	-0.25545445901853	NA	NA	NA	NA	NA	NA	0.354715629149496	NA	NA	NA	NA	NA	NA	-0.925481256287582	0.354715629149496	-??????	#??????	1	0.602156511999849
63979	FIGNL1	-0.0296073755539981	NA	-0.99118178138746	NA	NA	NA	NA	0.918545859334524	NA	0.268935817444216	NA	NA	NA	NA	-0.924752932191113	0.355094438847058	-?-????	#?#????	1	0.602700831340412
288	ANK3	-0.54536814514369	0.91290392511807	-1.72957969135359	-0.279958309579083	0.404870884052533	-0.240392760207108	-0.235751040462128	0.152186280936483	0.0080455842804952	0.0755873351140779	0.764551285091151	0.274159215941746	0.190041820325285	0.929399992157675	-0.92430233258651	0.355328928655258	-+--+--	#!#####	1	0.603000058749719
2820	GPD2	0.251420412666295	NA	NA	NA	NA	NA	NA	0.355571417375173	NA	NA	NA	NA	NA	NA	0.923836559434205	0.355571417375173	+??????	#??????	1	0.603296291139724
55898	UNC45A	-0.176587739004575	NA	NA	NA	NA	NA	NA	0.355619933051673	NA	NA	NA	NA	NA	NA	-0.923743394418249	0.355619933051673	-??????	#??????	1	0.603296291139724
51601	LIPT1	0.207618625006432	0.805534627363696	NA	0.273656479706493	-0.0937311695999519	-0.0630660574484843	-0.343115187546719	0.602008944680054	0.00547956965592628	NA	0.760229697059712	0.805620604611704	0.744938907818732	0.929399992157675	0.923264503031769	0.355869381605147	++?+---	#!?####	1	0.603620646945905
55266	TMEM19	-0.0573502476359629	NA	NA	NA	NA	0.132262978802208	NA	0.800705178873489	NA	NA	NA	NA	0.205823439323077	NA	0.923097471167243	0.355956412370376	-????+?	#????#?	1	0.603669450897191
